countryCode,genus,species,decimalLongitude,decimalLatitude,thermal_zone
FR,Xylotrechus,Xylotrechus arvicola,5.25713,45.89215,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.37989,49.42285,temperate
FR,Xylotrechus,Xylotrechus arvicola,9.14077,42.498,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.56176,43.0899,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.55868,43.75257,temperate
DE,Xylotrechus,Xylotrechus arvicola,7.17,50.552,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.9,50.8,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.75,51.7,temperate
DE,Xylotrechus,Xylotrechus arvicola,12.266235,51.659351,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.44407,48.85958,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.65486,49.51382,temperate
FR,Xylotrechus,Xylotrechus arvicola,7.34484,47.81488,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.6002,47.71383,temperate
FR,Xylotrechus,Xylotrechus arvicola,-1.10856,44.75801,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.30872,44.06401,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.32577,46.45449,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.56581,48.96635,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.79504,48.97475,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.85,51.05,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.9,51.2,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.9,51.5,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.08191,50.67842,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.13291,50.69185,temperate
FR,Xylotrechus,Xylotrechus arvicola,6.40454,43.97804,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.0232,42.53014,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.02991,42.49376,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.59216,44.59572,temperate
FR,Xylotrechus,Xylotrechus arvicola,9.10325,42.13957,temperate
FR,Xylotrechus,Xylotrechus arvicola,-1.05665,44.03884,temperate
FR,Xylotrechus,Xylotrechus arvicola,9.10325,42.13957,temperate
FR,Xylotrechus,Xylotrechus arvicola,6.428,43.97026,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.86255,47.44214,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.56581,48.96635,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.38948,48.61361,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.407896,48.595315,temperate
FR,Xylotrechus,Xylotrechus arvicola,-1.78,46.7,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948,temperate
NL,Xylotrechus,Xylotrechus arvicola,6.05,51.35,temperate
FR,Xylotrechus,Xylotrechus arvicola,6.34539,43.24461,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.79887,47.9852,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.44789,48.85746,temperate
FR,Xylotrechus,Xylotrechus arvicola,0.25735,45.56632,temperate
FR,Xylotrechus,Xylotrechus arvicola,0.2853,47.32359,temperate
FR,Xylotrechus,Xylotrechus arvicola,0.40894,47.50655,temperate
FR,Xylotrechus,Xylotrechus arvicola,0.40894,47.50655,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948,temperate
FR,Xylotrechus,Xylotrechus arvicola,6.38527,43.25111,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.32577,46.45449,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.43351,46.13293,temperate
FR,Xylotrechus,Xylotrechus arvicola,-1.47406,46.50964,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.45085,45.82372,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.29861,48.78295,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.75,51.7,temperate
NL,Xylotrechus,Xylotrechus arvicola,6,50.75,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.7031,49.19261,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.79887,47.9852,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.06685,47.80536,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.06708,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93315,47.80536,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.06708,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.79887,47.9852,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.79887,47.9852,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.79921,47.8952,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93315,47.80536,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.06685,47.80536,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.06708,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.06708,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.37554,49.78229,temperate
FR,Xylotrechus,Xylotrechus arvicola,0.2853,47.32359,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.43351,46.13293,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93502,46.27485,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.06488,46.1848,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.06488,46.1848,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.6309,45.61377,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.46145,45.0844,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.46145,45.0844,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.4109,45.09293,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.4109,45.09293,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.45414,46.74002,temperate
FR,Xylotrechus,Xylotrechus arvicola,-1.024113,46.206364,temperate
NL,Xylotrechus,Xylotrechus arvicola,6.05,51.35,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.8,51.8,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.54751,47.13309,temperate
FR,Xylotrechus,Xylotrechus arvicola,4.04253,49.86928,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.79649,43.80814,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.38632,48.88342,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.06445,45.8246,temperate
FR,Xylotrechus,Xylotrechus arvicola,-1.10043,46.3813,temperate
FR,Xylotrechus,Xylotrechus arvicola,-1.10043,46.3813,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.07068,50.68179,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.79649,43.80814,temperate
BE,Xylotrechus,Xylotrechus arvicola,4.574,50.114,temperate
