countryCode,genus,species,decimalLongitude,decimalLatitude
RS,Xylotrechus,Xylotrechus arvicola,22.436351,42.374104
FR,Xylotrechus,Xylotrechus arvicola,1.31374,45.0557
FR,Xylotrechus,Xylotrechus arvicola,4.681985,45.378375
FR,Xylotrechus,Xylotrechus arvicola,-0.577019,44.787679
NL,Xylotrechus,Xylotrechus arvicola,5.85,51.6
DE,Xylotrechus,Xylotrechus arvicola,13.387715,52.549008
DE,Xylotrechus,Xylotrechus arvicola,10.535635,52.265565
NL,Xylotrechus,Xylotrechus arvicola,5.65,51.95
DE,Xylotrechus,Xylotrechus arvicola,8.648191,49.304916
DE,Xylotrechus,Xylotrechus arvicola,7.507606,49.803436
DE,Xylotrechus,Xylotrechus arvicola,7.507606,49.803436
DE,Xylotrechus,Xylotrechus arvicola,7.507606,49.803436
FR,Xylotrechus,Xylotrechus arvicola,4.682574,45.379969
NL,Xylotrechus,Xylotrechus arvicola,5.9,50.8
NL,Xylotrechus,Xylotrechus arvicola,5.4,51.35
NL,Xylotrechus,Xylotrechus arvicola,5.8,51.3
PT,Xylotrechus,Xylotrechus arvicola,-9.221306,39.309393
DE,Xylotrechus,Xylotrechus arvicola,12.363736,51.372322
DE,Xylotrechus,Xylotrechus arvicola,7.009663,49.912434
FR,Xylotrechus,Xylotrechus arvicola,2.24834,47.55581
FR,Xylotrechus,Xylotrechus arvicola,5.44852,45.72972
PT,Xylotrechus,Xylotrechus arvicola,-9.221306,39.309393
NL,Xylotrechus,Xylotrechus arvicola,6.05,52
DE,Xylotrechus,Xylotrechus arvicola,12.623357,53.423485
BE,Xylotrechus,Xylotrechus arvicola,3.775357,50.625886
FR,Xylotrechus,Xylotrechus arvicola,2.17756,48.44516
FR,Xylotrechus,Xylotrechus arvicola,1.75797,47.352955
FR,Xylotrechus,Xylotrechus arvicola,2.50439,48.87316
NL,Xylotrechus,Xylotrechus arvicola,5.55,51.4
NL,Xylotrechus,Xylotrechus arvicola,5.95,51.15
DE,Xylotrechus,Xylotrechus arvicola,14.208295,51.424984
DE,Xylotrechus,Xylotrechus arvicola,10.236168,50.217339
DE,Xylotrechus,Xylotrechus arvicola,9.273405,51.132858
BG,Xylotrechus,Xylotrechus arvicola,23.326,42.672
FR,Xylotrechus,Xylotrechus arvicola,6.46637,44.526565
FR,Xylotrechus,Xylotrechus arvicola,1.194835,48.06771
FR,Xylotrechus,Xylotrechus arvicola,7.54055,43.83952
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696
FR,Xylotrechus,Xylotrechus arvicola,6.12959,43.07879
FR,Xylotrechus,Xylotrechus arvicola,7.02487,43.58948
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696
NL,Xylotrechus,Xylotrechus arvicola,6.1,51.35
NL,Xylotrechus,Xylotrechus arvicola,5.85,50.8
NL,Xylotrechus,Xylotrechus arvicola,6.3,52.1
NL,Xylotrechus,Xylotrechus arvicola,6,51.05
NL,Xylotrechus,Xylotrechus arvicola,6,51.05
NL,Xylotrechus,Xylotrechus arvicola,5.85,51.85
FR,Xylotrechus,Xylotrechus arvicola,6.28793,43.70435
AT,Xylotrechus,Xylotrechus arvicola,16.498,48.251
NL,Xylotrechus,Xylotrechus arvicola,6.15,51.45
AT,Xylotrechus,Xylotrechus arvicola,16.513449,48.180771
DE,Xylotrechus,Xylotrechus arvicola,8.040771,49.573898
FR,Xylotrechus,Xylotrechus arvicola,2.44929,48.862
FR,Xylotrechus,Xylotrechus arvicola,6.23896,44.08117
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242
FR,Xylotrechus,Xylotrechus arvicola,2.477357,48.833783
FR,Xylotrechus,Xylotrechus arvicola,1.15938,48.87085
NL,Xylotrechus,Xylotrechus arvicola,6,51.6
AT,Xylotrechus,Xylotrechus arvicola,16.497536,48.251311
NL,Xylotrechus,Xylotrechus arvicola,5.75,50.85
NL,Xylotrechus,Xylotrechus arvicola,6.2,51.4
DE,Xylotrechus,Xylotrechus arvicola,7.540842,49.823868
FR,Xylotrechus,Xylotrechus arvicola,6.47994,43.389885
FR,Xylotrechus,Xylotrechus arvicola,2.44538,48.85978
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242
FR,Xylotrechus,Xylotrechus arvicola,4.83735,44.90899
FR,Xylotrechus,Xylotrechus arvicola,2.38526,48.97335
NL,Xylotrechus,Xylotrechus arvicola,6.15,51.5
NL,Xylotrechus,Xylotrechus arvicola,5.85,51.5
NL,Xylotrechus,Xylotrechus arvicola,6.05,52.1
RU,Xylotrechus,Xylotrechus arvicola,51.493632,55.165294
FR,Xylotrechus,Xylotrechus arvicola,-0.01221,43.931965
FR,Xylotrechus,Xylotrechus arvicola,2.37554,49.78229
FR,Xylotrechus,Xylotrechus arvicola,-2.24267,47.41727
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242
FR,Xylotrechus,Xylotrechus arvicola,1.69786,49.14771
FR,Xylotrechus,Xylotrechus arvicola,1.97551,48.97055
FR,Xylotrechus,Xylotrechus arvicola,5.38214,45.79949
FR,Xylotrechus,Xylotrechus arvicola,5.452359,44.683545
FR,Xylotrechus,Xylotrechus arvicola,-0.12,47.13
ES,Xylotrechus,Xylotrechus arvicola,-8.789757,42.254656
